Epoch 1, Train Loss: 4.44987205090785, Validation Loss: 4.110648397399452, Training Time: 25.862805128097534
Epoch 2, Train Loss: 3.6970318587273456, Validation Loss: 3.164541547240648, Training Time: 22.1110737323761
Epoch 3, Train Loss: 2.7713013635715007, Validation Loss: 2.3070910087501035, Training Time: 22.641899824142456
Epoch 4, Train Loss: 2.0734189083435584, Validation Loss: 1.6909767099125241, Training Time: 22.538556575775146
Epoch 5, Train Loss: 1.6084829382109596, Validation Loss: 1.3491578848269012, Training Time: 22.288521766662598
Epoch 6, Train Loss: 1.338467037891062, Validation Loss: 1.1361704176670633, Training Time: 22.703986167907715
Epoch 7, Train Loss: 1.1839221234982025, Validation Loss: 1.0265332484270424, Training Time: 22.527039289474487
Epoch 8, Train Loss: 1.0543846458058392, Validation Loss: 0.934435256477151, Training Time: 22.644001722335815
Epoch 9, Train Loss: 0.9828096411021203, Validation Loss: 0.8633835907982322, Training Time: 22.728384971618652
Epoch 10, Train Loss: 0.9171717089797741, Validation Loss: 0.8406827150833243, Training Time: 22.537604570388794
Epoch 11, Train Loss: 0.8692558744002684, Validation Loss: 0.7905211047327305, Training Time: 22.71299982070923
Epoch 12, Train Loss: 0.8279709436547448, Validation Loss: 0.7586270923735093, Training Time: 22.80777931213379
Epoch 13, Train Loss: 0.803890010779705, Validation Loss: 0.73296163355965, Training Time: 22.684001445770264
Epoch 14, Train Loss: 0.7841419434531625, Validation Loss: 0.7083471603338284, Training Time: 23.229003190994263
Epoch 15, Train Loss: 0.7672768643946739, Validation Loss: 0.6974562000173161, Training Time: 24.00825834274292
Epoch 16, Train Loss: 0.7482015282132911, Validation Loss: 0.6873334229180885, Training Time: 23.492003202438354
Epoch 17, Train Loss: 0.7203160328688094, Validation Loss: 0.6777315203206431, Training Time: 23.76063370704651
Epoch 18, Train Loss: 0.706881926468937, Validation Loss: 0.6640748794262226, Training Time: 23.507914066314697
Epoch 19, Train Loss: 0.7019493906761811, Validation Loss: 0.6604636272590203, Training Time: 23.488839864730835
Epoch 20, Train Loss: 0.6933674072097515, Validation Loss: 0.6395906903344286, Training Time: 23.626895427703857
Epoch 21, Train Loss: 0.6712479448223683, Validation Loss: 0.640738546094603, Training Time: 23.64100170135498
Epoch 22, Train Loss: 0.6642583312855563, Validation Loss: 0.6286666949757534, Training Time: 23.49273371696472
Epoch 23, Train Loss: 0.6600963976937781, Validation Loss: 0.620026766751413, Training Time: 23.843087911605835
Epoch 24, Train Loss: 0.6515605014866752, Validation Loss: 0.6142545536521614, Training Time: 23.83508539199829
Epoch 25, Train Loss: 0.6356981637029161, Validation Loss: 0.6086008594586299, Training Time: 23.573830604553223
Epoch 26, Train Loss: 0.6335468530575908, Validation Loss: 0.6024823494341903, Training Time: 24.007601022720337
Epoch 27, Train Loss: 0.6231979157136244, Validation Loss: 0.6116398808451171, Training Time: 23.71184206008911
Epoch 28, Train Loss: 0.6166970197691516, Validation Loss: 0.5880886754070117, Training Time: 23.755921363830566
Epoch 29, Train Loss: 0.6173062407749231, Validation Loss: 0.5905345006913606, Training Time: 24.50097680091858
Epoch 30, Train Loss: 0.5987496930491142, Validation Loss: 0.5880676239760332, Training Time: 23.918060064315796
Epoch 31, Train Loss: 0.5936713082929412, Validation Loss: 0.5755405314227426, Training Time: 23.73391580581665
Epoch 32, Train Loss: 0.5918671654501524, Validation Loss: 0.5699976864805714, Training Time: 23.66200304031372
Epoch 33, Train Loss: 0.579531058054874, Validation Loss: 0.5624249180576698, Training Time: 23.92400074005127
Epoch 34, Train Loss: 0.5753158308442181, Validation Loss: 0.5666945104352792, Training Time: 23.872896194458008
Epoch 35, Train Loss: 0.566799264620913, Validation Loss: 0.5539341955215085, Training Time: 23.89200186729431
Epoch 36, Train Loss: 0.5548630331824993, Validation Loss: 0.5580629972059935, Training Time: 23.847038745880127
Epoch 37, Train Loss: 0.5555355308030598, Validation Loss: 0.5462072842741665, Training Time: 23.923951387405396
Epoch 38, Train Loss: 0.5466801503188093, Validation Loss: 0.5381809367206501, Training Time: 23.903868675231934
Epoch 39, Train Loss: 0.5388558158067144, Validation Loss: 0.543851999450157, Training Time: 23.247045278549194
Epoch 40, Train Loss: 0.5337147034936744, Validation Loss: 0.5528292822699652, Training Time: 23.109999418258667
Epoch 41, Train Loss: 0.528743499786037, Validation Loss: 0.5282565335830471, Training Time: 22.940998077392578
Epoch 42, Train Loss: 0.5270753800078999, Validation Loss: 0.532520338406176, Training Time: 23.15121078491211
Epoch 43, Train Loss: 0.5247834836709886, Validation Loss: 0.531245549404709, Training Time: 23.131999015808105
Epoch 44, Train Loss: 0.5101136297086282, Validation Loss: 0.5231273202549419, Training Time: 22.98349642753601
Epoch 45, Train Loss: 0.5131507651982835, Validation Loss: 0.5190360680520849, Training Time: 22.99599862098694
Epoch 46, Train Loss: 0.5108952726845397, Validation Loss: 0.5171952705174778, Training Time: 23.12808322906494
Epoch 47, Train Loss: 0.49384641378347727, Validation Loss: 0.5114314413233979, Training Time: 22.88600254058838
Epoch 48, Train Loss: 0.5004082912953189, Validation Loss: 0.5119861281458269, Training Time: 22.99481725692749
Epoch 49, Train Loss: 0.48950467905198763, Validation Loss: 0.5164372196815539, Training Time: 23.140732288360596
Epoch 50, Train Loss: 0.49070559958498394, Validation Loss: 0.5162514665795076, Training Time: 23.231996774673462
