Epoch 1, Train Loss: 15.4908170707005, Validation Loss: 4.3910399750716, Training Time: 16.77493977546692
Epoch 2, Train Loss: 1.1857891638910258, Validation Loss: 2.83009017845847, Training Time: 16.97107458114624
Epoch 3, Train Loss: 0.8771176151249733, Validation Loss: 3.4610100060230455, Training Time: 16.94748854637146
Epoch 4, Train Loss: 0.7923020025573374, Validation Loss: 9.642373407532883, Training Time: 16.775119066238403
Epoch 5, Train Loss: 0.7037454839336704, Validation Loss: 17.44990684001225, Training Time: 17.105382204055786
Epoch 6, Train Loss: 0.6541472674346007, Validation Loss: 1.3494552069135497, Training Time: 17.20742964744568
Epoch 7, Train Loss: 0.6257049440999451, Validation Loss: 1.269374911591377, Training Time: 17.152602672576904
Epoch 8, Train Loss: 0.6039073341341834, Validation Loss: 1.9182880000793638, Training Time: 17.084802389144897
Epoch 9, Train Loss: 0.5954435867352649, Validation Loss: 4.39533712336495, Training Time: 17.099136352539062
Epoch 10, Train Loss: 0.5730719529573097, Validation Loss: 6.733841731370706, Training Time: 15.748151779174805
Epoch 11, Train Loss: 0.5727282556561337, Validation Loss: 0.7218630167216264, Training Time: 16.47446060180664
Epoch 12, Train Loss: 0.5530713612121008, Validation Loss: 4.906896386404877, Training Time: 17.094258069992065
Epoch 13, Train Loss: 0.5596380670549784, Validation Loss: 1.129217271005596, Training Time: 17.21909523010254
Epoch 14, Train Loss: 0.5307354251385885, Validation Loss: 3.6748489985078505, Training Time: 16.940409183502197
Epoch 15, Train Loss: 0.5228357073001499, Validation Loss: 6.878645708006607, Training Time: 16.74734377861023
Epoch 16, Train Loss: 0.5119100153708251, Validation Loss: 0.6291616830478672, Training Time: 16.868925094604492
Epoch 17, Train Loss: 0.5068135219776043, Validation Loss: 0.6122592662379112, Training Time: 16.94703960418701
Epoch 18, Train Loss: 0.4963412852705565, Validation Loss: 1.167424262040894, Training Time: 17.03523850440979
Epoch 19, Train Loss: 0.4964781353032736, Validation Loss: 2.1233675979733735, Training Time: 15.877731323242188
Epoch 20, Train Loss: 0.4978513817612355, Validation Loss: 1.2470217904172687, Training Time: 15.905317306518555
Epoch 21, Train Loss: 0.4947483834899447, Validation Loss: 7.771423788425885, Training Time: 16.98229146003723
Epoch 22, Train Loss: 0.4812594102665205, Validation Loss: 1.991112793608659, Training Time: 17.06319761276245
Epoch 23, Train Loss: 0.4755244417750841, Validation Loss: 1.731521637122195, Training Time: 17.10241174697876
Epoch 24, Train Loss: 0.466173047457937, Validation Loss: 1.4554685209593978, Training Time: 17.03962540626526
Epoch 25, Train Loss: 0.46253075271764554, Validation Loss: 1.7293421844058328, Training Time: 17.123202562332153
Epoch 26, Train Loss: 0.45973464929876623, Validation Loss: 4.224190565048976, Training Time: 16.809460401535034
Epoch 27, Train Loss: 0.4595744471916187, Validation Loss: 6.171075699560799, Training Time: 17.139497995376587
Epoch 28, Train Loss: 0.45720087365214157, Validation Loss: 2.9042064889289994, Training Time: 16.863798141479492
Epoch 29, Train Loss: 0.47759066676606593, Validation Loss: 0.7450887252057379, Training Time: 17.02949285507202
Epoch 30, Train Loss: 0.45487355150376424, Validation Loss: 1.0419023334307271, Training Time: 17.046385526657104
Epoch 31, Train Loss: 0.4460827182107167, Validation Loss: 1.3820749574401847, Training Time: 17.086185216903687
Epoch 32, Train Loss: 0.44053423552627413, Validation Loss: 2.0347998709361117, Training Time: 17.010868310928345
Epoch 33, Train Loss: 0.432818462478068, Validation Loss: 0.6147075086226582, Training Time: 16.717223167419434
Epoch 34, Train Loss: 0.43351132645960005, Validation Loss: 23.16383083033508, Training Time: 16.988911390304565
Epoch 35, Train Loss: 0.42125221280455843, Validation Loss: 4.79354966520994, Training Time: 17.136582612991333
Epoch 36, Train Loss: 0.43005044635534795, Validation Loss: 2.8206543122538057, Training Time: 16.853938579559326
Epoch 37, Train Loss: 0.4221280571028385, Validation Loss: 0.6903134126291857, Training Time: 17.278651237487793
Epoch 38, Train Loss: 0.41468425942742054, Validation Loss: 1.550154005128966, Training Time: 16.917911052703857
Epoch 39, Train Loss: 0.4237741688653402, Validation Loss: 0.7523820847945611, Training Time: 17.055845975875854
Epoch 40, Train Loss: 0.4176457772617086, Validation Loss: 1.8624666677640738, Training Time: 17.14246416091919
Epoch 41, Train Loss: 0.412368029089722, Validation Loss: 1.2335822002344152, Training Time: 17.194408178329468
Epoch 42, Train Loss: 0.40976284302527, Validation Loss: 0.8781242445279459, Training Time: 17.032803535461426
Epoch 43, Train Loss: 0.4103672082729161, Validation Loss: 0.6060881456591475, Training Time: 17.24409246444702
Epoch 44, Train Loss: 0.4062605827028169, Validation Loss: 1.6483899743104895, Training Time: 17.18022608757019
Epoch 45, Train Loss: 0.4033371436732861, Validation Loss: 1.4528873626722978, Training Time: 17.081934928894043
Epoch 46, Train Loss: 0.39998561539492394, Validation Loss: 0.5320443715858136, Training Time: 16.9044246673584
Epoch 47, Train Loss: 0.40032499939849947, Validation Loss: 1.6359788763334735, Training Time: 17.821181297302246
Epoch 48, Train Loss: 0.39518487446275335, Validation Loss: 2.7889305215925986, Training Time: 16.99930715560913
Epoch 49, Train Loss: 0.39390093079696664, Validation Loss: 1.4256362589433553, Training Time: 17.086087703704834
Epoch 50, Train Loss: 0.3919116739849895, Validation Loss: 0.8525426087072687, Training Time: 16.8548526763916
