Epoch 1, Train Loss: 4.337614439514116, Validation Loss: 11.53313229890762, Training Time: 198.30339932441711
Epoch 2, Train Loss: 1.9823076278940257, Validation Loss: 6.054147887845872, Training Time: 198.07564568519592
Epoch 3, Train Loss: 1.7326245731417855, Validation Loss: 34.62802222635886, Training Time: 196.63119959831238
Epoch 4, Train Loss: 1.5927202588563207, Validation Loss: 3.4658283855866996, Training Time: 196.79091334342957
Epoch 5, Train Loss: 1.5007821790489955, Validation Loss: 2.0380725694401276, Training Time: 196.97921681404114
Epoch 6, Train Loss: 1.4239619315521383, Validation Loss: 6.334046542757175, Training Time: 196.22412276268005
Epoch 7, Train Loss: 1.3668966478411873, Validation Loss: 3.3033080892173765, Training Time: 197.236421585083
Epoch 8, Train Loss: 1.3177031402203603, Validation Loss: 5.098029330532432, Training Time: 196.56644558906555
Epoch 9, Train Loss: 1.2713326617744496, Validation Loss: 4.904691017736935, Training Time: 197.0248522758484
Epoch 10, Train Loss: 1.2352570373975598, Validation Loss: 9.280621303502464, Training Time: 197.00406312942505
Epoch 11, Train Loss: 1.202049031903307, Validation Loss: 2.2756088428626513, Training Time: 198.43016576766968
Epoch 12, Train Loss: 1.1694911556192846, Validation Loss: 1.631109869322389, Training Time: 197.1552288532257
Epoch 13, Train Loss: 1.1423425400805416, Validation Loss: 4.241455040454263, Training Time: 196.42797565460205
Epoch 14, Train Loss: 1.115541493354999, Validation Loss: 4.532395824874507, Training Time: 196.8541247844696
Epoch 15, Train Loss: 1.0905189161093627, Validation Loss: 2.3944559421979488, Training Time: 197.36759090423584
Epoch 16, Train Loss: 1.0719242695609696, Validation Loss: 2.9803581206619776, Training Time: 196.61944794654846
Epoch 17, Train Loss: 1.0503622002763753, Validation Loss: 2.9665608302594433, Training Time: 196.55906629562378
Epoch 18, Train Loss: 1.029070370512572, Validation Loss: 7.492508522335208, Training Time: 198.59983587265015
Epoch 19, Train Loss: 1.0121320167673098, Validation Loss: 2.312423183791053, Training Time: 196.76052808761597
Epoch 20, Train Loss: 0.9956183559725816, Validation Loss: 1.4089949715978782, Training Time: 196.5555181503296
Epoch 21, Train Loss: 0.9799315652482855, Validation Loss: 12.878494015675937, Training Time: 196.72102165222168
Epoch 22, Train Loss: 0.9653304148332454, Validation Loss: 1.4394832247259035, Training Time: 196.619797706604
Epoch 23, Train Loss: 0.9494295266674777, Validation Loss: 3.2418522560228396, Training Time: 196.59537768363953
Epoch 24, Train Loss: 0.9351215353378883, Validation Loss: 2.5469866216032475, Training Time: 197.9970965385437
Epoch 25, Train Loss: 0.9216751807353782, Validation Loss: 2.915583051144889, Training Time: 198.60574460029602
Epoch 26, Train Loss: 0.909893817888849, Validation Loss: 2.765896531794908, Training Time: 196.01450109481812
Epoch 27, Train Loss: 0.8984874473971851, Validation Loss: 10.608996399972298, Training Time: 196.27826857566833
Epoch 28, Train Loss: 0.8861069453917119, Validation Loss: 3.4697916010639993, Training Time: 197.72604203224182
Epoch 29, Train Loss: 0.874776120817113, Validation Loss: 2.597122988594953, Training Time: 196.43958830833435
Epoch 30, Train Loss: 0.8646053623789175, Validation Loss: 5.78118209134278, Training Time: 197.00002646446228
Epoch 31, Train Loss: 0.8517305474825836, Validation Loss: 6.285432515199934, Training Time: 196.53852033615112
Epoch 32, Train Loss: 0.8422249821787974, Validation Loss: 2.860959907560583, Training Time: 199.3732192516327
Epoch 33, Train Loss: 0.8319453370585317, Validation Loss: 3.1595239936084814, Training Time: 197.0504913330078
Epoch 34, Train Loss: 0.8222959871416429, Validation Loss: 1.664955339344628, Training Time: 197.6309576034546
Epoch 35, Train Loss: 0.8160701072559907, Validation Loss: 2.4831258607646842, Training Time: 196.6288776397705
Epoch 36, Train Loss: 0.8062495494768035, Validation Loss: 5.153299921101268, Training Time: 197.78209853172302
Epoch 37, Train Loss: 0.7967682601427578, Validation Loss: 1.3748924839154835, Training Time: 196.68672490119934
Epoch 38, Train Loss: 0.7930491636986537, Validation Loss: 2.992574717049037, Training Time: 196.87641596794128
Epoch 39, Train Loss: 0.7852679887720038, Validation Loss: 5.819917137996912, Training Time: 196.1249759197235
Epoch 40, Train Loss: 0.7772055093473759, Validation Loss: 2.765650092841847, Training Time: 196.5764799118042
Epoch 41, Train Loss: 0.765496237729628, Validation Loss: 1.2449515441546444, Training Time: 196.53121852874756
Epoch 42, Train Loss: 0.7606838951039465, Validation Loss: 1.2750879846132996, Training Time: 197.74125909805298
Epoch 43, Train Loss: 0.7549095084053198, Validation Loss: 1.564931143697283, Training Time: 196.76940417289734
Epoch 44, Train Loss: 0.7456250077705834, Validation Loss: 3.7810716436449354, Training Time: 196.6460211277008
Epoch 45, Train Loss: 0.7402416312587016, Validation Loss: 3.2620041582031525, Training Time: 197.0838384628296
Epoch 46, Train Loss: 0.7351223887974643, Validation Loss: 1.354072306316907, Training Time: 197.36683440208435
Epoch 47, Train Loss: 0.7261978767097327, Validation Loss: 1.429394351052051, Training Time: 196.87413144111633
Epoch 48, Train Loss: 0.7251672285568327, Validation Loss: 1.2570095795389233, Training Time: 197.14672350883484
Epoch 49, Train Loss: 0.71920386015908, Validation Loss: 1.3589312775223676, Training Time: 196.55613732337952
Epoch 50, Train Loss: 0.7089467941544814, Validation Loss: 1.6436645583529554, Training Time: 197.3126723766327
